Date,drawdown
2021-07-29,0.0
2021-07-30,-0.018626946524664373
2021-08-02,-0.0029927099602627127
2021-08-03,0.0
2021-08-04,0.0
2021-08-05,-0.011722157648315688
2021-08-06,-0.021209889612052266
2021-08-09,-0.01162134599831251
2021-08-10,-0.011053213975626723
2021-08-11,0.0
2021-08-12,0.0
2021-08-13,-0.0016595814499665977
2021-08-16,-0.010832316625076421
2021-08-17,-0.02736794018144783
2021-08-18,-0.04097395116323293
2021-08-19,-0.04313665678600607
2021-08-20,-0.03263672630003178
2021-08-23,-0.01958900651431733
2021-08-24,0.0
2021-08-25,0.0
2021-08-26,-0.012075855070613093
2021-08-27,-0.0036078325861743413
2021-08-30,0.0
2021-08-31,-0.01012521244141576
2021-09-01,0.0
2021-09-02,0.0
2021-09-03,0.0
2021-09-07,-0.010293057457078095
2021-09-08,-0.025432579194049534
2021-09-09,-0.015232201896407043
2021-09-10,-0.016425115609375904
2021-09-13,-0.019236443006848954
2021-09-14,-0.026355977218153
2021-09-15,-0.015692643856072677
2021-09-16,0.0
2021-09-17,-0.0036492216856917497
2021-09-20,-0.026987285959936172
2021-09-21,-0.01143464274731707
2021-09-22,-0.009741276059324707
2021-09-23,-0.005842543760771112
2021-09-24,-0.014315759843415656
2021-09-27,-0.013855293433464862
2021-09-28,-0.04656557558395647
2021-09-29,-0.05976108412607153
2021-09-30,-0.07090599018985833
2021-10-01,-0.0668137742677223
2021-10-04,-0.0945451516646995
2021-10-05,-0.08274569011143458
2021-10-06,-0.08102685517349009
2021-10-07,-0.061738538795028185
2021-10-08,-0.06950968093679008
2021-10-11,-0.08787162008750378
2021-10-12,-0.08383713790944873
2021-10-13,-0.07269223005247386
2021-10-14,-0.05701864620692889
2021-10-15,-0.05217664579120287
2021-10-18,-0.03858089301887527
2021-10-19,-0.02845647906521933
2021-10-20,-0.03161146397895738
2021-10-21,-0.019817269528758803
2021-10-22,-0.024828419626702868
2021-10-25,-0.00643487566559158
2021-10-26,0.0
2021-10-27,-0.01921055972681615
2021-10-28,0.0
2021-10-29,0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,-0.0071955133215791745
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,-0.026688435522758
2021-11-11,-0.010107634405087374
2021-11-12,0.0
2021-11-15,-0.011492292440412501
2021-11-16,0.0
2021-11-17,-0.013244244599599768
2021-11-18,-0.009582724703920725
2021-11-19,0.0
2021-11-22,-0.01939532037722618
2021-11-23,-0.02641961922044883
2021-11-24,-0.01176101428089841
2021-11-26,-0.03109585132232731
2021-11-29,-0.02169508884579385
2021-11-30,-0.055897858022110676
2021-12-01,-0.08211418032769294
2021-12-02,-0.0787125127472826
2021-12-03,-0.10413961460751833
2021-12-06,-0.1068207486963934
2021-12-07,-0.0716430616803235
2021-12-08,-0.07475916050643333
2021-12-09,-0.10220738156057473
2021-12-10,-0.1273497793820158
2021-12-13,-0.13661784238486127
2021-12-14,-0.14032770844384806
2021-12-15,-0.1209303014703405
2021-12-16,-0.15355718630284906
2021-12-17,-0.14184689666125144
2021-12-20,-0.15761111977163797
2021-12-21,-0.12489997801828756
2021-12-22,-0.12287583633861747
2021-12-23,-0.1045993959387419
2021-12-27,-0.09832095752588871
2021-12-28,-0.109797856822149
2021-12-29,-0.11686223960749541
2021-12-30,-0.11052331907414614
2021-12-31,-0.11832946160962747
2022-01-03,-0.11147024896406772
2022-01-04,-0.11569294302404769
2022-01-05,-0.15778432359011413
2022-01-06,-0.14692454606417846
2022-01-07,-0.15520117767356031
2022-01-10,-0.15532387294160463
2022-01-11,-0.14154180849287554
2022-01-12,-0.14982760761682012
2022-01-13,-0.17346038363277128
2022-01-14,-0.18084237805960166
2022-01-18,-0.21278326975211892
2022-01-19,-0.22380672131941887
2022-01-20,-0.23746143654843394
2022-01-21,-0.2641203051721107
2022-01-24,-0.242219594335227
2022-01-25,-0.261713124247512
2022-01-26,-0.2628772397909513
2022-01-27,-0.27967767715526776
2022-01-28,-0.25176135550319584
2022-01-31,-0.21349866116261737
2022-02-01,-0.20283126266488158
2022-02-02,-0.21792967231859134
2022-02-03,-0.24603808163490287
2022-02-04,-0.22647473159508072
2022-02-07,-0.2217345036394073
2022-02-08,-0.2014793378383689
2022-02-09,-0.16900117415218585
2022-02-10,-0.18175045560825406
2022-02-11,-0.20391360238911005
2022-02-14,-0.20491848442720018
2022-02-15,-0.17370368204048026
2022-02-16,-0.19198635780916876
2022-02-17,-0.22505916407816065
2022-02-18,-0.24441734071297117
2022-02-22,-0.2616281686558684
2022-02-23,-0.2821502052296277
2022-02-24,-0.2577263100175759
2022-02-25,-0.23816125178664613
2022-02-28,-0.23005733824091879
2022-03-01,-0.251788103649591
2022-03-02,-0.24574861811007992
2022-03-03,-0.2636598500715626
2022-03-04,-0.2807226434913756
2022-03-07,-0.31829296626746445
2022-03-08,-0.30589280031917826
2022-03-09,-0.28127941158579206
2022-03-10,-0.29917650065751944
2022-03-11,-0.31872250946873926
2022-03-14,-0.34273597942677897
2022-03-15,-0.32018555130557097
2022-03-16,-0.2714107805503639
2022-03-17,-0.2547980741957796
2022-03-18,-0.23022597033111342
2022-03-21,-0.2449404944313801
2022-03-22,-0.22024065529426032
2022-03-23,-0.23629943706793385
2022-03-24,-0.21912005908371282
2022-03-25,-0.23552253567798376
2022-03-28,-0.2204743814686776
2022-03-29,-0.19714523759735622
2022-03-30,-0.22638880261168645
2022-03-31,-0.2490235549204818
2022-04-01,-0.254712837577362
2022-04-04,-0.23257685809732598
2022-04-05,-0.2599259073407545
2022-04-06,-0.2845636833197041
2022-04-07,-0.28320695687750364
2022-04-08,-0.2918753365004857
2022-04-11,-0.2955782026275646
2022-04-12,-0.30090585103854195
2022-04-13,-0.2817270077035174
2022-04-14,-0.30498163163762715
2022-04-18,-0.3109164294204325
2022-04-19,-0.28796255463647497
2022-04-20,-0.30312092527881446
2022-04-21,-0.3243827165152962
2022-04-22,-0.35158381801117855
2022-04-25,-0.3418095343526318
2022-04-26,-0.37188948725970145
2022-04-27,-0.3777675059498621
2022-04-28,-0.3559350213768388
2022-04-29,-0.39051069214296386
2022-05-02,-0.36568379667368167
2022-05-03,-0.3629925259439051
2022-05-04,-0.34740877366714595
2022-05-05,-0.3957070316401372
2022-05-06,-0.40939917355691874
2022-05-09,-0.4420929662883708
2022-05-10,-0.4418282020428625
2022-05-11,-0.4745654674493877
2022-05-12,-0.46019190885345845
2022-05-13,-0.4257270044865154
2022-05-16,-0.447868747330645
2022-05-17,-0.4276019272895014
2022-05-18,-0.46474914320449373
2022-05-19,-0.4620617829420057
2022-05-20,-0.46631240943680063
2022-05-23,-0.46516982394731327
2022-05-24,-0.4872376878113107
2022-05-25,-0.4673335483726799
2022-05-26,-0.4377641395324677
2022-05-27,-0.4191271660030159
2022-05-31,-0.42401974847105023
2022-06-01,-0.4368985835073927
2022-06-02,-0.4011853119533096
2022-06-03,-0.41820149878393525
2022-06-06,-0.41313359022971025
2022-06-07,-0.413294831590004
2022-06-08,-0.41532423369786897
2022-06-09,-0.4297942082205735
2022-06-10,-0.45504930697441553
2022-06-13,-0.4847044065197804
2022-06-14,-0.48011480119253136
2022-06-15,-0.46455019066608905
2022-06-16,-0.49376972871219715
2022-06-17,-0.48318581512827363
2022-06-21,-0.47510341793165406
2022-06-22,-0.475107952428066
2022-06-23,-0.46132276070789185
2022-06-24,-0.4370222895854118
2022-06-27,-0.4468651542710061
2022-06-28,-0.46916343927465226
2022-06-29,-0.4773754886829741
2022-06-30,-0.49336768648968576
2022-07-01,-0.48401429077811775
2022-07-05,-0.4587819568575752
2022-07-06,-0.46394549353862374
2022-07-07,-0.4394778489968456
2022-07-08,-0.43987705236593866
2022-07-11,-0.46290882055771637
2022-07-12,-0.46240003939764557
2022-07-13,-0.46911604296531106
2022-07-14,-0.4746108828967373
2022-07-15,-0.4583016739934437
2022-07-18,-0.45491514159452867
2022-07-19,-0.4356644585599662
2022-07-20,-0.42129178872678547
2022-07-21,-0.41334839231429377
2022-07-22,-0.4312690851779084
2022-07-25,-0.43732455050337277
2022-07-26,-0.45606020286502236
2022-07-27,-0.4333124670334757
2022-07-28,-0.4257376191797058
2022-07-29,-0.4195073975064416
2022-08-01,-0.4073111488482618
2022-08-02,-0.4075549615125836
2022-08-03,-0.3846715482508624
2022-08-04,-0.3911293548404
2022-08-05,-0.39545899148523495
2022-08-08,-0.38346119085104363
2022-08-09,-0.4090651716373845
2022-08-10,-0.3793666234829033
2022-08-11,-0.3769059037991183
2022-08-12,-0.36194492114696497
2022-08-15,-0.3669592737283083
2022-08-16,-0.3606550391875281
2022-08-17,-0.38029680744423555
2022-08-18,-0.3803589359384656
2022-08-19,-0.4128886771413326
2022-08-22,-0.43193157334049287
2022-08-23,-0.42976797968544195
2022-08-24,-0.4240082533507868
2022-08-25,-0.41048646568270486
2022-08-26,-0.4370410232813952
2022-08-29,-0.4413871737015518
2022-08-30,-0.44668981344997655
2022-08-31,-0.45407464252183966
2022-09-01,-0.4590475196617074
2022-09-02,-0.46701911228330467
2022-09-06,-0.4687752719834708
2022-09-07,-0.45799470954030025
2022-09-08,-0.4539522557369913
2022-09-09,-0.4357967633364377
2022-09-12,-0.4236413852176868
2022-09-13,-0.45883270115539404
2022-09-14,-0.4547882096768691
2022-09-15,-0.4604639305212558
2022-09-16,-0.4791230478704469
2022-09-19,-0.4728701115568728
2022-09-20,-0.4909597952358797
2022-09-21,-0.49323484079714214
2022-09-22,-0.5115391621404222
2022-09-23,-0.5201809159165145
2022-09-26,-0.5278987405123974
2022-09-27,-0.5210398186530626
2022-09-28,-0.5062251248622972
2022-09-29,-0.5240221186089313
2022-09-30,-0.5344687850325603
2022-10-03,-0.5187918969785469
2022-10-04,-0.4929477102294689
2022-10-05,-0.4920296348612185
2022-10-06,-0.4965010161871114
2022-10-07,-0.5216160938951931
2022-10-10,-0.5257554475702952
2022-10-11,-0.5275556065839931
2022-10-12,-0.5249934143732022
2022-10-13,-0.5231626334312836
2022-10-14,-0.5464905991838809
2022-10-17,-0.5196883633901962
2022-10-18,-0.5129829536068802
2022-10-19,-0.5273325270188832
2022-10-20,-0.5258315160772143
2022-10-21,-0.516552001168602
2022-10-24,-0.5171469892808416
2022-10-25,-0.49847516639093326
2022-10-26,-0.4976876023686225
2022-10-27,-0.49673911867307463
2022-10-28,-0.4871416083971324
2022-10-31,-0.49033279051231726
2022-11-01,-0.4906003110800253
2022-11-02,-0.5081353772861162
2022-11-03,-0.49930040963501
2022-11-04,-0.5021375262164506
2022-11-07,-0.4976154175905945
2022-11-08,-0.4952942106401289
2022-11-09,-0.5138181307477719
2022-11-10,-0.4505703540786337
2022-11-11,-0.42889980318272314
2022-11-14,-0.43111050317005445
2022-11-15,-0.41744350267257374
2022-11-16,-0.4422603657702723
2022-11-17,-0.45485890845323507
2022-11-18,-0.45684395342142303
2022-11-21,-0.4606466520833147
2022-11-22,-0.45343606711286233
2022-11-23,-0.4468410169923679
2022-11-25,-0.4487165705059264
2022-11-28,-0.45969879290214855
2022-11-29,-0.4596068607265703
2022-11-30,-0.42538277525948087
2022-12-01,-0.41563850491982474
2022-12-02,-0.41183026789160054
2022-12-05,-0.4317087153274347
2022-12-06,-0.44636164966692504
2022-12-07,-0.451081953805013
2022-12-08,-0.43884774027560003
2022-12-09,-0.441078225110429
2022-12-12,-0.4309784781988891
2022-12-13,-0.4203716809206286
2022-12-14,-0.4191645700449318
2022-12-15,-0.4450791801492957
2022-12-16,-0.45040755678933136
2022-12-19,-0.45942738100904257
2022-12-20,-0.46409238678478526
2022-12-21,-0.4481508484803174
2022-12-22,-0.4653953710677693
2022-12-23,-0.46493460630311445
2022-12-27,-0.4789457240007068
2022-12-28,-0.4908177989848166
2022-12-29,-0.4714702132242617
2022-12-30,-0.4749375496740723
2023-01-03,-0.4779855497566589
2023-01-04,-0.4595838494320933
2023-01-05,-0.46379238057294814
2023-01-06,-0.4467572551748339
2023-01-09,-0.4363088171588678
2023-01-10,-0.4258531699731762
2023-01-11,-0.4100322768242608
2023-01-12,-0.40404691681581856
2023-01-13,-0.3977982774317969
2023-01-17,-0.39240979020690475
2023-01-18,-0.4000698127732692
2023-01-19,-0.4131540847071389
2023-01-20,-0.38431138416418537
2023-01-23,-0.34671615522612487
2023-01-24,-0.355946453506616
2023-01-25,-0.35242851272018344
2023-01-26,-0.3488649044397398
2023-01-27,-0.32591620661474485
2023-01-30,-0.3466065957740455
2023-01-31,-0.3313686019107906
2023-02-01,-0.3042938699414929
2023-02-02,-0.2804118621094831
2023-02-03,-0.29482822969019873
2023-02-06,-0.3060350818567554
2023-02-07,-0.30272895074705697
